key_kind,source_industry,destination_industry,commodity,row_code,share
C3,441000,811100,,331510,3.737553289813911e-08
C3,441000,811100,,331520,3.0667452344505607e-06
C3,441000,811100,,332114,2.3348214263298567e-07
C3,441000,811100,,33211A,1.5992686532243705e-06
C3,441000,811100,,332119,1.594540261919125e-05
C3,441000,811100,,332200,2.1777011186980546e-06
C3,441000,811100,,332310,1.641264490062312e-05
C3,441000,811100,,332320,2.423746754387138e-05
C3,441000,811100,,332410,1.4310195838795896e-06
C3,441000,811100,,332420,5.121543773884847e-07
C3,441000,811100,,332430,8.58814372731104e-07
C3,441000,811100,,332500,-0.00017659708760887606
C3,441000,811100,,332600,-0.000230641406145436
C3,441000,811100,,332710,-0.0001116047315005232
C3,441000,811100,,332720,-0.00011915425965139387
C3,441000,811100,,332800,-0.00015603551765491764
C3,441000,811100,,332913,2.346254396521511e-06
C3,441000,811100,,33291A,-8.772120573226564e-05
C3,441000,811100,,332991,-2.0944896991355787e-06
C3,441000,811100,,332996,1.125656767747655e-06
C3,441000,811100,,33299A,0.00025285338820249385
C3,441000,811100,,332999,-7.370010388955785e-08
C3,441000,811100,,333111,7.842261440516921e-08
C3,441000,811100,,333112,3.9530919528575817e-05
C3,441000,811100,,333120,3.765841010209446e-08
C3,441000,811100,,333316,8.717094580153756e-08
C3,441000,811100,,333318,-1.1017738555102305e-05
C3,441000,811100,,333414,1.510102245093988e-06
C3,441000,811100,,333415,3.7764822556611976e-06
C3,441000,811100,,333413,1.5612151933719778e-06
C3,441000,811100,,33351B,-2.481526548839898e-05
C3,441000,811100,,333612,7.551633404024111e-06
C3,441000,811100,,333618,-0.0015518880173558066
C3,441000,811100,,333912,-1.4967578527276753e-05
C3,441000,811100,,333914,3.6911432515167862e-06
C3,441000,811100,,333920,-0.00010094148222438771
C3,441000,811100,,333991,7.531682020418891e-09
C3,441000,811100,,33399A,2.124914652076709e-05
C3,441000,811100,,33399B,1.370181368358822e-06
C3,441000,811100,,334111,2.6117041100207896e-10
C3,441000,811100,,334112,2.8119659935979857e-09
C3,441000,811100,,334118,1.3064036057328966e-05
C3,441000,811100,,334210,1.882920505104723e-08
C3,441000,811100,,334220,-7.04460346297382e-05
C3,441000,811100,,334290,6.447645767731348e-07
C3,441000,811100,,334413,-0.00022322334511324464
C3,441000,811100,,334418,-8.230818704416705e-05
C3,441000,811100,,33441A,-0.0003207230748742988
C3,441000,811100,,334511,3.2021896790621417e-06
C3,441000,811100,,334512,2.4094573377985692e-06
C3,441000,811100,,334513,-5.170519561397802e-06
C3,441000,811100,,334514,-1.2504597261191251e-05
C3,441000,811100,,33451A,3.0495504940900783e-06
C3,441000,811100,,334300,8.622296765543764e-06
C3,441000,811100,,334610,1.4887989085250136e-07
C3,441000,811100,,335110,-3.8929532447801555e-06
C3,441000,811100,,335120,4.854589880315498e-06
C3,441000,811100,,335210,3.936819352498828e-06
C3,441000,811100,,335220,0.0003555790481191791
C3,441000,811100,,335311,1.5063364040837782e-08
C3,441000,811100,,335312,-0.00037155174275968266
C3,441000,811100,,335313,1.948927555623512e-06
C3,441000,811100,,335314,4.005936033517221e-07
C3,441000,811100,,335911,-0.00013650549327119842
C3,441000,811100,,335920,-5.610837348519835e-06
C3,441000,811100,,335930,1.6770109710667983e-05
C3,441000,811100,,335991,1.755694295980984e-09
C3,441000,811100,,335999,-2.6493338735472264e-05
C3,441000,811100,,336120,-6.202115565195698e-05
C3,441000,811100,,336211,-5.9292222931160884e-05
C3,441000,811100,,336310,0.07007724228798777
C3,441000,811100,,336320,0.018735552712223904
C3,441000,811100,,336350,-0.0015199465395029548
C3,441000,811100,,336360,-6.437832644989876e-05
C3,441000,811100,,336370,-0.0001480518984018386
C3,441000,811100,,336390,-0.0014068827988873993
C3,441000,811100,,3363A0,-0.005795288111381958
C3,441000,811100,,336991,8.851974139680594e-05
C3,441000,811100,,337110,1.1236855144608222e-05
C3,441000,811100,,337127,1.0167770727565504e-07
C3,441000,811100,,337215,7.46300248014194e-05
C3,441000,811100,,33721A,4.41356566396547e-06
C3,441000,811100,,339115,4.481292251723955e-08
C3,441000,811100,,339910,3.3211222243318717e-05
C3,441000,811100,,339920,1.1495039873556407e-06
C3,441000,811100,,339940,1.6248540525767483e-08
C3,441000,811100,,339950,3.502232139494785e-07
C3,441000,811100,,339990,3.242045326938481e-05
C3,441000,811100,,311224,1.3544716102604207e-10
C3,441000,811100,,311513,1.3409268941578165e-08
C3,441000,811100,,31161A,8.53317114464065e-09
C3,441000,811100,,311810,2.302601737442715e-09
C3,441000,811100,,311910,5.011544957963556e-09
C3,441000,811100,,311920,1.4899187712864628e-09
C3,441000,811100,,312110,1.760813093338547e-09
C3,441000,811100,,312120,8.237832199031214e-08
C3,441000,811100,,312130,2.7089432205208413e-10
C3,441000,811100,,313100,6.984900226588227e-07
