source_industry,commodity,destination_industry,share,delta,rule_id,va_mix
711200,711A00,711A00,0.033073929961089495,17000000.0,default,
711200,713200,713200,1.0,2230000000.0,default,
711200,722211,722211,1.0,1291000000.0,default,
711200,812900,812900,1.0,234000000.0,default,
711500,2332D0,2332D0,1.0,44000000.0,default,
711500,4B0000,4B0000,1.0,35000000.0,default,
711500,533000,533000,1.0,306000000.0,default,
711500,541511,541511,1.0,4000000.0,default,
711500,541800,541800,1.0,137000000.0,default,
711500,722211,722211,1.0,3000000.0,default,
711A00,2332D0,2332D0,1.0,152000000.0,default,
711A00,4B0000,4B0000,1.0,209000000.0,default,
711A00,531ORE,531ORE,1.0,506000000.0,default,
711A00,533000,533000,1.0,24000000.0,default,
711A00,541511,541511,1.0,26000000.0,default,
711A00,541700,541700,1.0,1000000.0,default,
711A00,541800,541800,1.0,1862000000.0,default,
711A00,722211,722211,1.0,1867000000.0,default,
712000,2332D0,2332D0,1.0,87000000.0,default,
712000,4B0000,4B0000,1.0,651000000.0,default,
712000,531ORE,531ORE,1.0,417000000.0,default,
712000,532A00,532A00,1.0,20000000.0,default,
712000,533000,533000,1.0,14000000.0,default,
712000,541511,541511,1.0,34000000.0,default,
712000,541700,541700,1.0,2000000.0,default,
712000,541800,541800,1.0,125000000.0,default,
712000,713900,713900,1.0,2000000.0,default,
712000,721000,721000,1.0,7000000.0,default,
712000,722211,722211,1.0,523000000.0,default,
712000,812900,812900,1.0,107000000.0,default,
713100,2332D0,2332D0,1.0,241000000.0,default,
713100,4B0000,4B0000,1.0,1663000000.0,default,
713100,531ORE,531ORE,1.0,53000000.0,default,
713100,532A00,532A00,1.0,150000000.0,default,
713100,541511,541511,1.0,3000000.0,default,
713100,541700,541700,1.0,1000000.0,default,
713100,541800,541800,1.0,71000000.0,default,
713100,721000,721000,1.0,147000000.0,default,
713100,722211,722211,1.0,4076000000.0,default,
713100,812900,812900,1.0,291000000.0,default,
713200,2332D0,2332D0,1.0,75000000.0,default,
713200,4B0000,4B0000,1.0,119000000.0,default,
713200,541511,541511,1.0,31000000.0,default,
713200,541700,541700,1.0,1000000.0,default,
