commodity,industry,million_usd,moved
333993,332710,4.965707326617216,True
33399A,332710,31.922404242539248,True
335999,332710,2.8375470437812664,True
336214,332710,2.1281602828359496,True
336350,332710,0.7093867609453166,True
336370,332710,4.256320565671899,True
336413,332710,0.7093867609453166,True
339990,332710,7.0938676094531665,True
324110,332710,0.7093867609453166,True
324190,332710,2.1281602828359496,True
3259A0,332710,0.7093867609453166,True
326190,332710,2.8375470437812664,True
423800,332710,50.366460027117476,True
541511,332710,25.5379233940314,True
541700,332710,271.69512944205627,True
811400,332710,152.51815360324306,True
S00401,332710,87.96395835721925,True
233230,332720,5.0,False
332119,332720,158.0,False
332200,332720,1.0,False
332310,332720,51.0,False
332320,332720,24.0,False
332420,332720,1.0,False
332500,332720,1.0,False
332710,332720,552.0,False
332720,332720,27572.0,False
332800,332720,183.0,False
33291A,332720,7.0,False
332999,332720,7.0,False
33329A,332720,9.0,False
333415,332720,9.0,False
333511,332720,1.0,False
333514,332720,77.0,False
333517,332720,35.0,False
33351B,332720,2.0,False
333613,332720,5.0,False
333991,332720,1.0,False
33399A,332720,95.0,False
334413,332720,8.0,False
335220,332720,7.0,False
336370,332720,40.0,False
336413,332720,24.0,False
313200,332720,11.0,False
325520,332720,4.0,False
3259A0,332720,1.0,False
326190,332720,2.0,False
423A00,332720,288.0,False
541511,332720,11.0,False
541700,332720,56.0,False
S00401,332720,324.0,False
233230,332800,16.0,False
331110,332800,5.0,False
331313,332800,3.0,False
332119,332800,25.0,False
332200,332800,1.0,False
332310,332800,21.0,False
332320,332800,5.0,False
332430,332800,2.0,False
332710,332800,54.0,False
332720,332800,15.0,False
332800,332800,25202.0,False
333514,332800,1.0,False
333517,332800,1.0,False
33351B,332800,1.0,False
334418,332800,1.0,False
336370,332800,14.0,False
336390,332800,1.0,False
339940,332800,2.0,False
339950,332800,4.0,False
323110,332800,102.0,False
325510,332800,5.0,False
326190,332800,7.0,False
423A00,332800,79.0,False
541511,332800,6.0,False
541700,332800,93.0,False
541800,332800,11.0,False
S00401,332800,252.0,False
233230,332913,6.0,False
3219A0,332913,5.0,False
332913,332913,4410.0,False
33291A,332913,2.0,False
332999,332913,19.0,False
333318,332913,2.0,False
33399A,332913,5.0,False
339113,332913,5.0,False
326120,332913,115.0,False
326190,332913,123.0,False
326290,332913,16.0,False
423A00,332913,123.0,False
541511,332913,4.0,False
541700,332913,15.0,False
S00401,332913,1.0,False
233230,33291A,47.0,False
332200,33291A,2.0,False
332420,33291A,28.0,False
332710,33291A,13.0,False
332913,33291A,13.0,False
33291A,33291A,23709.0,False
332996,33291A,125.0,False
332999,33291A,2.0,False
333130,33291A,20.0,False
333414,33291A,4.0,False
333415,33291A,10.0,False
333611,33291A,8.0,False
333613,33291A,2.0,False
333914,33291A,152.0,False
333991,33291A,2.0,False
33399A,33291A,121.0,False
33399B,33291A,350.0,False
334511,33291A,17.0,False
334512,33291A,62.0,False
334513,33291A,70.0,False
33451A,33291A,8.0,False
335314,33291A,38.0,False
335930,33291A,1.0,False
335999,33291A,2.0,False
336320,33291A,4.0,False
336390,33291A,1.0,False
336412,33291A,24.0,False
336413,33291A,22.0,False
339990,33291A,6.0,False
324190,33291A,1.0,False
326190,33291A,33.0,False
326220,33291A,6.0,False
423A00,33291A,317.0,False
541511,33291A,28.0,False
541700,33291A,799.0,False
S00401,33291A,19.0,False
233230,332991,12.0,False
33211A,332991,32.0,False
332720,332991,9.0,False
332991,332991,5956.0,False
333612,332991,14.0,False
333613,332991,93.0,False
336310,332991,17.0,False
423A00,332991,11.0,False
541511,332991,10.0,False
541700,332991,39.0,False
S00401,332991,7.0,False
233230,332996,14.0,False
33131B,332996,1.0,False
331510,332996,11.0,False
332114,332996,44.0,False
33211A,332996,1.0,False
332310,332996,91.0,False
332420,332996,6.0,False
332710,332996,7.0,False
332720,332996,5.0,False
33291A,332996,42.0,False
332996,332996,5738.0,False
332999,332996,36.0,False
333120,332996,17.0,False
33399A,332996,7.0,False
326120,332996,2.0,False
326220,332996,24.0,False
423A00,332996,70.0,False
541511,332996,12.0,False
541700,332996,45.0,False
S00401,332996,24.0,False
233230,33299A,23.0,False
33211A,33299A,1.0,False
332310,33299A,6.0,False
332800,33299A,29.0,False
332996,33299A,7.0,False
33299A,33299A,12535.0,False
332999,33299A,2.0,False
33399A,33299A,6.0,False
334511,33299A,76.0,False
336120,33299A,1.0,False
336413,33299A,4.0,False
33641A,33299A,31.0,False
336999,33299A,4.0,False
339990,33299A,8.0,False
3259A0,33299A,9.0,False
423A00,33299A,184.0,False
541511,33299A,17.0,False
541700,33299A,79.0,False
S00401,33299A,19.0,False
233230,332999,24.0,False
3219A0,332999,1.0,False
331200,332999,1.0,False
332114,332999,1.0,False
332119,332999,1.0,False
332200,332999,3.0,False
332310,332999,10.0,False
332320,332999,2.0,False
332420,332999,3.0,False
332430,332999,3.0,False
332600,332999,1.0,False
332710,332999,12.0,False
332720,332999,3.0,False
332800,332999,14.0,False
332913,332999,12.0,False
332996,332999,7.0,False
332999,332999,13016.0,False
333120,332999,7.0,False
333318,332999,11.0,False
333511,332999,2.0,False
33351B,332999,1.0,False
333920,332999,8.0,False
333993,332999,4.0,False
33399A,332999,5.0,False
33451A,332999,3.0,False
335120,332999,1.0,False
335920,332999,1.0,False
336360,332999,35.0,False
336390,332999,11.0,False
337215,332999,1.0,False
339113,332999,5.0,False
339910,332999,38.0,False
339950,332999,1.0,False
339990,332999,11.0,False
314900,332999,1.0,False
326120,332999,1.0,False
326130,332999,1.0,False
326140,332999,13.0,False
326190,332999,7.0,False
326220,332999,11.0,False
326290,332999,3.0,False
423A00,332999,160.0,False
541511,332999,30.0,False
541700,332999,103.0,False
541800,332999,1.0,False
S00401,332999,284.0,False
233230,333111,43.0,False
331110,333111,4.0,False
332310,333111,1.0,False
332320,333111,1.0,False
332430,333111,46.0,False
33291A,333111,9.0,False
333111,333111,23878.0,False
333112,333111,267.0,False
333120,333111,177.0,False
33329A,333111,1.0,False
333318,333111,5.0,False
333920,333111,36.0,False
335120,333111,29.0,False
335210,333111,1.0,False
336112,333111,3.0,False
336211,333111,1.0,False
337215,333111,1.0,False
339920,333111,1.0,False
324190,333111,1.0,False
325510,333111,71.0,False
423800,333111,66.0,False
541511,333111,45.0,False
541700,333111,348.0,False
S00401,333111,30.0,False
233230,333112,10.0,False
333111,333112,435.0,False
333112,333112,7112.0,False
333618,333112,71.0,False
335220,333112,244.0,False
423800,333112,1.0,False
541511,333112,13.0,False
541700,333112,60.0,False
S00401,333112,1.0,False
233230,333120,50.0,False
332430,333120,2.0,False
332710,333120,4.0,False
333111,333120,95.0,False
333120,333120,31497.0,False
333130,333120,87.0,False
33329A,333120,26.0,False
333414,333120,6.0,False
333920,333120,8.0,False
335313,333120,3.0,False
423800,333120,275.0,False
541511,333120,49.0,False
541700,333120,385.0,False
233230,333130,41.0,False
332710,333130,20.0,False
333120,333130,298.0,False
333130,333130,16587.0,False
33351B,333130,16.0,False
333611,333130,1.0,False
333914,333130,11.0,False
333920,333130,16.0,False
336500,333130,1.0,False
423800,333130,71.0,False
532400,333130,13.0,False
541511,333130,49.0,False
541700,333130,462.0,False
233230,333242,13.0,False
333242,333242,8312.0,False
33329A,333242,10.0,False
333994,333242,17.0,False
33399A,333242,3.0,False
326110,333242,2.0,False
423800,333242,181.0,False
541511,333242,15.0,False
541700,333242,272.0,False
S00401,333242,1.0,False
233230,33329A,109.0,False
332119,33329A,2.0,False
332200,33329A,5.0,False
332320,33329A,1.0,False
332710,33329A,83.0,False
33291A,33329A,1.0,False
332991,33329A,4.0,False
333111,33329A,1.0,False
333242,33329A,6002.0,False
33329A,33329A,23851.0,False
333318,33329A,358.0,False
333415,33329A,11.0,False
333511,33329A,21.0,False
33351B,33329A,31.0,False
333912,33329A,1.0,False
333914,33329A,1.0,False
333920,33329A,34.0,False
333993,33329A,15.0,False
333994,33329A,5.0,False
33399A,33329A,55.0,False
33441A,33329A,1.0,False
335312,33329A,1.0,False
335314,33329A,16.0,False
339990,33329A,1.0,False
325180,33329A,16.0,False
325610,33329A,1.0,False
3259A0,33329A,1.0,False
423800,33329A,226.0,False
541511,33329A,73.0,False
541700,33329A,507.0,False
S00401,33329A,10.0,False
233230,333314,4.0,False
333314,333314,4367.0,False
