napcs_code,bea_2017_commodity,weight,resolution,napcs_description
2000575000,311700,1.0,NAICS_2007_Code,"Manufacturing of other prepared frozen seafood, including frozen surimi and surimi-based products, soups, stews, chowders, pies, fishcakes, crabcakes, shrimpcakes, etc."
2000600000,311700,1.0,NAICS_2007_Code,"Manufacturing of canned seafood (including soups, stews, and chowders); smoked, salted, and other cured seafood"
2000625000,311514,1.0,NAICS_2012_Code,"Manufacturing of dry and modified dry whey products (including dry lactose), food grade (bakeries, confectioners, meat packers, etc.), shipped in bulk (more than 3 lb)"
2000650000,311514,1.0,NAICS_2012_Code,"Manufacturing of dry milk products and mixtures (dry milk, dry buttermilk, dry whey, etc.), feed grade, shipped in bulk (more than 3 lb)"
2000675000,311514,1.0,NAICS_2012_Code,"Manufacturing of dry milk, nonfat, infants' formula, and other types (weight control products, whole milk powder, malted milk powder, etc.), shipped in consumer-type packages (3 lb or less)"
2000700000,311514,1.0,NAICS_2012_Code,"Manufacturing of dry milk (whole, nonfat, and other), food grade (bakeries, confectioners, meat packers, etc.), shipped in bulk (more than 3 lb)"
2000725000,31151A,1.0,NAICS_2012_Code,"Manufacturing of whole fluid milk, packaged, excluding U.H.T. and flavored"
2000750000,31151A,1.0,NAICS_2012_Code,"Manufacturing of 2% reduced fat milk, 1% lowfat milk, and 0.5% milk, packaged, excluding U.H.T. and flavored"
2000775000,31151A,1.0,NAICS_2012_Code,"Manufacturing of fat-free or skim milk, packaged, excluding U.H.T. and flavored"
2000800000,31151A,1.0,NAICS_2012_Code,"Manufacturing of fluid milk and cream, bulk sales (including whole milk, 2% reduced fat, 1% lowfat, skim or fat-free milk, flavored milk, buttermilk, eggnog, etc.)"
2000825000,311514,0.5,NAICS_2012_Code,"Manufacturing of U.H.T., lactose-free, and flavored fluid milk, packaged"
2000825000,31151A,0.5,NAICS_2012_Code,"Manufacturing of U.H.T., lactose-free, and flavored fluid milk, packaged"
2000850000,31151A,1.0,NAICS_2012_Code,"Manufacturing of yogurt, excluding frozen"
2000875000,31151A,1.0,NAICS_2012_Code,Manufacturing of creamery butter
2000875003,31151A,1.0,NAICS_2012_Code,"Manufacturing of creamery butter, shipped in commercial packages or in bulk"
2000875006,31151A,1.0,NAICS_2012_Code,"Manufacturing of creamery butter, shipped in consumer packages"
2000875009,31151A,1.0,NAICS_2012_Code,"Manufacturing of creamery butter, anhydrous milkfat (butteroil)"
2000900000,311513,1.0,NAICS_2012_Code,"Manufacturing of natural cheese (cheddar, Swiss, Italian, brick, cream, grated, dried, etc.), excluding cottage cheese"
2000900003,311513,1.0,NAICS_2012_Code,"Manufacturing of natural cheese, excluding lowfat and cottage cheese, shipped in consumer packages or containers"
2000900006,311513,1.0,NAICS_2012_Code,"Manufacturing of natural cheese, excluding lowfat and cottage cheese, shipped in commercial packages or containers, or in bulk"
2000900009,311513,1.0,NAICS_2012_Code,"Manufacturing of natural cheese, lowfat, excluding cottage cheese, shipped in consumer packages or containers"
2000900012,311513,1.0,NAICS_2012_Code,"Manufacturing of natural cheese, lowfat, excluding cottage cheese, shipped in commercial packages or containers, or in bulk"
2000925000,311513,1.0,NAICS_2012_Code,"Manufacturing of process cheese, shipped in consumer packages or containers"
2000950000,311513,1.0,NAICS_2012_Code,Manufacturing of all other process cheese and related products
2000950003,311513,1.0,NAICS_2012_Code,"Manufacturing of process cheese, shipped in commercial packages or containers, or in bulk"
2000950006,311513,1.0,NAICS_2012_Code,"Manufacturing of cheese food, cheese spread, and other related cheese products, including flavored cheese dips"
2000975000,31151A,1.0,NAICS_2012_Code,"Manufacturing of cottage cheese (including bakers', pot, and farmers' cheese)"
2001000000,311513,1.0,NAICS_2012_Code,Manufacturing of raw liquid whey
2001025000,311520,1.0,NAICS_2012_Code,"Manufacturing of ice cream, including custards (excluding lowfat and nonfat), shipped in bulk (containers 3 gallons or more)"
2001050000,311520,1.0,NAICS_2012_Code,"Manufacturing of ice cream, including custards (excluding lowfat and nonfat), shipped in consumer sizes less than 3 gallons"
2001075000,311520,1.0,NAICS_2012_Code,"Manufacturing of ice cream, including custards (excluding lowfat and nonfat), novelty forms"
2001100000,311520,1.0,NAICS_2012_Code,"Manufacturing of ice cream, including custards, lowfat and nonfat"
2001125000,311520,1.0,NAICS_2012_Code,"Manufacturing of other frozen desserts (yogurt, sherbet, water ices, mellorine, frozen pudding, etc.)"
2001150000,311514,1.0,NAICS_2012_Code,"Manufacturing of canned milk products, including evaporated, condensed, milk-based infants' formula (liquid), whole milk, and other, shipped in consumer-type cans, excluding substitutes"
2001175000,31151A,1.0,NAICS_2012_Code,"Manufacturing of other packaged milk products, including flavored sour cream dips, eggnog, buttermilk, acidophilus, reconstituted, reduced milk, etc."
2001200000,31151A,1.0,NAICS_2012_Code,"Manufacturing of other fluid milk related products, (including heavy cream, light coffee cream, unflavored sour cream, half and half, and whipped topping with butterfat base), packaged"
2001225000,311514,1.0,NAICS_2012_Code,"Manufacturing of ice cream mixes and related products, including lowfat and nonfat, sherbet,  yogurt, milkshake, and other milk-based mixes"
2001250000,311514,1.0,NAICS_2012_Code,"Manufacturing of concentrated milk products, shipped in bulk (barrels, drums, and tanks)"
2001250003,311514,1.0,NAICS_2012_Code,"Manufacturing of concentrated milk products, including concentrated whey and buttermilk, shipped in bulk (barrels, drums, and tanks), feed grade"
2001250006,311514,1.0,NAICS_2012_Code,"Manufacturing of concentrated milk products, whey (solids), shipped in bulk (barrels, drums, and tanks), food grade (excluding all types of ice cream mixes)"
2001250009,311514,1.0,NAICS_2012_Code,"Manufacturing of concentrated milk products, all other types, shipped in bulk (drums, barrels, and tanks), food grade (excluding ice cream and ice cream mixes)"
2001275000,31151A,1.0,NAICS_2012_Code,"Manufacturing of perishable dairy product substitutes, including soy milk, rice milk, almond milk, oat milk, flavored dip, whipped topping, coffee whitener, sour cream, flavored milk drink substitutes, etc."
2001300000,311514,1.0,NAICS_2012_Code,"Manufacturing of dry and/or canned dairy product substitutes, including dry coffee whitener, infants' formula, and sour cream, whipped topping, and canned liquid infants' formula, dietary supplements, and weight control products"
2001325000,311513,1.0,NAICS_2012_Code,Manufacturing of cheese substitutes and imitations
2001325003,311513,1.0,NAICS_2012_Code,Manufacturing of products substituting for natural cheese
2001325006,311513,1.0,NAICS_2012_Code,Manufacturing of products substituting for processed cheese and related products
2001350000,311410,1.0,NAICS_2012_Code,"Manufacturing of frozen whipped topping, dairy or nondairy base, and other frozen dairy product substitutes, excluding mellorine and similar products"
