code_2022,code_2017,level_2022,level_2017,split,description_2022,description_2017
4003750018,4003750018,D,D,False,Wholesale sales of other flat iron and steel products,Wholesale sales of other flat iron and steel products
4003775000,4003775000,B,B,False,Wholesale sales of iron and steel pipes and tubing,Wholesale sales of iron and steel pipes and tubing
4003775003,4003775003,D,D,False,Wholesale sales of iron and steel tubing,Wholesale sales of iron and steel tubing
4003775006,4003775006,D,D,False,Wholesale sales of standard steel pipes,Wholesale sales of standard steel pipes
4003775009,4003775009,D,D,False,Wholesale sales of other steel pipes,Wholesale sales of other steel pipes
4003800000,4003800000,B,B,False,"Wholesale sales of iron and steel bars and bar-size shapes, except reinforcement bars","Wholesale sales of iron and steel bars and bar-size shapes, except reinforcement bars"
4003800003,4003800003,D,D,False,"Wholesale sales of hot-rolled iron and steel bars and bar-size shapes, except reinforcement bars","Wholesale sales of hot-rolled iron and steel bars and bar-size shapes, except reinforcement bars"
4003800006,4003800006,D,D,False,Wholesale sales of cold-finished iron and steel bars and bar-size shapes,Wholesale sales of cold-finished iron and steel bars and bar-size shapes
4003800009,4003800009,D,D,False,"Wholesale sales of structural shapes, except bar-size shapes","Wholesale sales of structural shapes, except bar-size shapes"
4003825000,4003825000,B,B,False,Wholesale sales of alloy steel,Wholesale sales of alloy steel
4003825003,4003825003,D,D,False,Wholesale sales of hot-rolled or cold-finished alloy steel bars,Wholesale sales of hot-rolled or cold-finished alloy steel bars
4003825006,4003825006,D,D,False,"Wholesale sales of alloy steel pipes, tubing, and plates","Wholesale sales of alloy steel pipes, tubing, and plates"
4003825009,4003825009,D,D,False,Wholesale sales of other alloy steel,Wholesale sales of other alloy steel
4003850000,4003850000,B,B,False,Wholesale sales of stainless steel,Wholesale sales of stainless steel
4003850003,4003850003,D,D,False,Wholesale sales of stainless steel plates,Wholesale sales of stainless steel plates
4003850006,4003850006,D,D,False,Wholesale sales of stainless steel strips,Wholesale sales of stainless steel strips
4003850009,4003850009,D,D,False,Wholesale sales of stainless steel sheets,Wholesale sales of stainless steel sheets
4003850012,4003850012,D,D,False,Wholesale sales of stainless steel bars and bar-size shapes,Wholesale sales of stainless steel bars and bar-size shapes
4003850015,4003850015,D,D,False,"Wholesale sales of other stainless steel, including tubing","Wholesale sales of other stainless steel, including tubing"
4003875000,4003875000,B,B,False,"Wholesale sales of primary, secondary, and alloyed aluminum in primary and mill shapes","Wholesale sales of primary, secondary and alloyed aluminum in primary and mill shapes"
