ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Notes,Table
UMD_GHGIA,Natural Gas Industrial,NAICS_2017_Code,2212,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Industrial,NAICS_2017_Code,23,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Industrial - Manufacturing,NAICS_2017_Code,31,,"31, 32, 33",EPA_GHGI_T_A_14
UMD_GHGIA,Natural Gas Industrial - Manufacturing,NAICS_2017_Code,32,,,EPA_GHGI_T_A_14
UMD_GHGIA,Natural Gas Industrial - Manufacturing,NAICS_2017_Code,33,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Industrial,NAICS_2017_Code,11,,"11, 21, 2212, 23, 31, 32, 33",EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Industrial,NAICS_2017_Code,21,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Industrial,NAICS_2017_Code,2212,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Industrial,NAICS_2017_Code,23,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Industrial,NAICS_2017_Code,31,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Industrial,NAICS_2017_Code,32,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Industrial,NAICS_2017_Code,33,,,EPA_GHGI_T_A_14
UMD_GHGIA,Natural Gas Commercial,NAICS_2017_Code,2213,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Residential and Commercial,NAICS_2017_Code,2213,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Commercial,NAICS_2017_Code,42,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Residential and Commercial,NAICS_2017_Code,42,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Commercial,NAICS_2017_Code,44,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Residential and Commercial,NAICS_2017_Code,44,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Commercial,NAICS_2017_Code,45,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Residential and Commercial,NAICS_2017_Code,45,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Commercial,NAICS_2017_Code,493,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Residential and Commercial,NAICS_2017_Code,493,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Commercial,NAICS_2017_Code,51,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Residential and Commercial,NAICS_2017_Code,51,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Commercial,NAICS_2017_Code,52,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Residential and Commercial,NAICS_2017_Code,52,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Commercial,NAICS_2017_Code,53,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Residential and Commercial,NAICS_2017_Code,53,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Commercial,NAICS_2017_Code,54,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Residential and Commercial,NAICS_2017_Code,54,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Commercial,NAICS_2017_Code,55,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Residential and Commercial,NAICS_2017_Code,55,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
