ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Notes,Table
UMD_GHGIA_Facilities,Natural Gas Commercial,BEA_2017_Code,S00102,,S00102,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA_Facilities,Natural Gas Residential and Commercial,BEA_2017_Code,S00102,,S00102,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA_Facilities,Natural Gas Commercial,BEA_2017_Code,GSLGE,,GSLGE,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA_Facilities,Natural Gas Residential and Commercial,BEA_2017_Code,GSLGE,,GSLGE,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA_Facilities,Natural Gas Commercial,BEA_2017_Code,GSLGH,,GSLGH,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA_Facilities,Natural Gas Residential and Commercial,BEA_2017_Code,GSLGH,,GSLGH,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA_Facilities,Total Petroleum Commercial,NAICS_2017_Code,2213,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Commercial,NAICS_2017_Code,42,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Commercial,NAICS_2017_Code,44,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Commercial,NAICS_2017_Code,45,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Commercial,NAICS_2017_Code,493,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Commercial,NAICS_2017_Code,51,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Commercial,NAICS_2017_Code,52,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Commercial,NAICS_2017_Code,53,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Commercial,BEA_2017_Code,HS,,HS,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Commercial,BEA_2017_Code,ORE,,ORE,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Commercial,NAICS_2017_Code,54,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Commercial,NAICS_2017_Code,55,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Commercial,NAICS_2017_Code,56,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Commercial,NAICS_2017_Code,61,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Commercial,NAICS_2017_Code,62,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Commercial,NAICS_2017_Code,71,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Commercial,NAICS_2017_Code,72,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Commercial,NAICS_2017_Code,81,,,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Commercial,BEA_2017_Code,S00102,,S00102,EPA_GHGI_T_A_14
UMD_GHGIA_Facilities,Total Petroleum Commercial,BEA_2017_Code,GSLGE,,GSLGE,EPA_GHGI_T_A_14
