direction,commodity,candidate_usd,reference_usd,status
exports,326220,2441246084.0,2423000000.0,1
exports,326290,2355791521.0,2510000000.0,2
exports,423100,0.0,0.0,0
exports,423400,0.0,0.0,0
exports,423600,0.0,0.0,0
exports,423800,0.0,0.0,0
exports,423A00,0.0,0.0,0
exports,424200,0.0,0.0,0
exports,424400,0.0,0.0,0
exports,424700,0.0,0.0,0
exports,424A00,0.0,0.0,0
exports,425000,2177000000.0,2385000000.0,2
exports,4200ID,0.0,0.0,0
exports,441000,0.0,0.0,0
exports,445000,0.0,0.0,0
exports,452000,0.0,0.0,0
exports,444000,0.0,0.0,0
exports,446000,0.0,0.0,0
exports,447000,0.0,0.0,0
exports,448000,0.0,0.0,0
exports,454000,0.0,0.0,0
exports,4B0000,0.0,0.0,0
exports,481000,44894372360.52301,42609000000.0,2
exports,482000,664580774.3715132,1358000000.0,2
exports,483000,3930000000.0,4858000000.0,2
exports,484000,2807131851.640258,1629000000.0,2
exports,485000,0.0,0.0,0
exports,486000,415287373.98822856,256000000.0,2
exports,48A000,0.0,685000000.0,3
exports,492000,4703627639.476991,9411000000.0,2
exports,493000,0.0,166000000.0,3
exports,511110,1286296267.4758503,480000000.0,2
exports,511120,1335614804.0317037,1236000000.0,2
exports,511130,3532869997.313886,2598000000.0,2
exports,5111A0,1136427848.4134467,339000000.0,2
exports,511200,38406000000.0,40953000000.0,2
exports,512100,22680000000.0,20775000000.0,2
exports,512200,3014000000.0,2895000000.0,2
exports,515100,0.0,19000000.0,3
exports,515200,0.0,0.0,0
exports,517110,5972350723.978295,7503000000.0,2
exports,517210,3745592327.3402414,4702000000.0,2
exports,517A00,502056948.6814631,727000000.0,2
exports,518200,3207000000.0,1370000000.0,2
exports,519130,296000000.0,3877000000.0,2
exports,5191A0,1011791082.7651135,829000000.0,2
exports,522A00,29821889618.949924,29227000000.0,2
exports,52A000,54545819629.507996,30778000000.0,2
exports,523900,33368635617.93316,58535000000.0,2
exports,523A00,13996655133.608923,13343000000.0,2
exports,524113,1606114045.7618768,0.0,4
exports,5241XX,10528326962.526072,19554000000.0,2
exports,524200,6841558991.712052,0.0,4
exports,525000,0.0,0.0,0
exports,531HSO,0.0,0.0,0
exports,531HST,0.0,0.0,0
exports,531ORE,0.0,3274000000.0,3
exports,532100,3596507618.109926,2192000000.0,2
exports,532400,2787940470.244592,3883000000.0,2
exports,532A00,794551911.6454825,920000000.0,2
exports,533000,75525000000.0,73049000000.0,2
exports,541100,11301000000.0,14209000000.0,2
exports,541511,10997514912.53631,11016000000.0,1
exports,541512,7958485087.463693,11216000000.0,2
exports,54151A,6674000000.0,8269000000.0,2
exports,541200,2490000000.0,2679000000.0,2
exports,541300,14955000000.0,33253000000.0,2
exports,541610,42110087543.82772,51279000000.0,2
exports,5416A0,11989912456.17228,206000000.0,2
exports,541700,45550000000.0,39414000000.0,2
exports,541800,14524000000.0,20441000000.0,2
exports,541400,0.0,176000000.0,3
exports,541920,0.0,301000000.0,3
exports,541940,0.0,0.0,0
exports,5419A0,3001000000.0,4776000000.0,2
exports,550000,0.0,4296000000.0,3
exports,561300,0.0,975000000.0,3
exports,561700,0.0,58000000.0,3
exports,561100,0.0,0.0,0
exports,561200,0.0,0.0,0
exports,561400,0.0,245000000.0,3
exports,561500,0.0,622000000.0,3
exports,561600,0.0,140000000.0,3
exports,561900,0.0,394000000.0,3
exports,562000,12000000.0,156000000.0,2
exports,611100,340442566.4756289,0.0,4
exports,611A00,1597620347.2315288,1844000000.0,2
exports,611B00,505937086.2928422,736000000.0,2
